Level,Crematogaster sp,Coptosoma xanthogramma,Camponotus vividus,Trichomyrmex abyssinicus,Forficula auricularia,Orthoporus ornatus,Camponotus sp,Dendarus coarcticollis,Chrysolina sp
0%,12,0,0,0,34,0,5,0,0
<50%,11,7,19,0,27,6,0,7,5
>50%,8,0,0,19,0,0,0,0,0
