Initial ID,ID,Class,Order,Family,Subfamily,Genus,Species,PT1,PT2,PT3,PT4,PT5,PT6,PT7,PT8,PT9,PT10,PT11,PT12,PT13,PT14,PT15
Pt115,MSp 372,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt116,MSp 373,Insecta,Hymenoptera,Crabronidae,Crabroninae,Stigmus ,fronticoncavus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt117,MSp 374,Arachnida,Oribatida,Euzetidae,Euzetinae,Euzetes ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt118,MSp 375,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt119,MSp 376,Insecta,Coleoptera,Curculionidae,Scolytinae,Coccotrypes ,dactyliperda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt120,MSp 377,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt121,MSp 378,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt122,MSp 379,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt123,MSp 380,Insecta,Blattodea,Unknown,Unknown,Unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt124,MSp 381,Insecta,Orthoptera  ,Tetrigidae,Cladonotinae,Afrolarcus ,aequalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt125,MSp 382,Insecta,Coleoptera,Curcilionidae,Scolytinae,Hylastinus ,obscurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt126,Msp126,Chilopoda,Lithoblomorpha,Lithobiidae,Lithobiinae,Lithobius ,nodulipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt127,MSp 384,Insecta,Coleoptera,Carabidae,Cicindelinae,Cylindera ,germanica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
