Level,Crematogaster sp,Adorectus tenuimaculatus,Coptosoma xanthogramma,Lenomyrmex hoelldobleri,Camponotus vividus,Tetramorium sericeiventre,Trichomyrmex abyssinicus
0%,12,7,0,31,0,0,0
<50%,5,0,11,0,8,9,0
>50%,8,0,0,0,0,0,19
